"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/13030","2013-09-09","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, how many employment agency staff are currently employed under the Swedish Derogation in (a) his Department and (b) each executive agency and non-departmental public body for which he is responsible.","Biography information for Mary Creagh","Mary Creagh","House of Commons Tabled Parliamentary Question 2013/14 168080","168080"
"http://data.parliament.uk/resources/13031","2013-09-09","Ministry of Justice","2013-09-04","To ask the Secretary of State for Justice, how many people were employed in prisons in England in each of the last 10 years; and how many people he expects to be so employed in May 2015.","Biography information for Steve Rotheram","Steve Rotheram","House of Commons Tabled Parliamentary Question 2013/14 168081","168081"
"http://data.parliament.uk/resources/13032","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent progress he has made in securing the release of Shaker Aamer; and if he will make a statement.","Biography information for Mr Tom Clarke","Mr Tom Clarke","House of Commons Tabled Parliamentary Question 2013/14 168084","168084"
"http://data.parliament.uk/resources/13033","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, if he will provide an estimate of the number of inhabitants of the Gaza strip killed by Israeli bombardments of white phosphorus, with a separate estimate of the number of civilians killed.","Biography information for Sir Gerald Kaufman","Sir Gerald Kaufman","House of Commons Tabled Parliamentary Question 2013/14 168085","168085"
"http://data.parliament.uk/resources/13034","2013-09-06","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, when she intends to reply to the urgent letter to the Minister for Immigration dated 5 July 2013 from the right hon. Member for Manchester, Gorton with regard to Khwima Msiska.","Biography information for Sir Gerald Kaufman","Sir Gerald Kaufman","House of Commons Tabled Parliamentary Question 2013/14 168087","168087"
"http://data.parliament.uk/resources/13035","2013-09-06","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, when she intends to reply to the letter to the Minister for Immigration dated 25 July 2013 from the right hon. Member for Manchester, Gorton with regard to Ms Simone Small.","Biography information for Sir Gerald Kaufman","Sir Gerald Kaufman","House of Commons Tabled Parliamentary Question 2013/14 168088","168088"
"http://data.parliament.uk/resources/13036","2013-09-06","Department for International Development","2013-09-04","To ask the Secretary of State for International Development, what recent assessment she has made of the contribution that (a) the Stop TB Partnership and (b) TB Reach programme has made in (i) assisting her in meeting her Department's objectives and (ii) increasing case detection and treatment of people in developing countries who have active TB.","Biography information for Andrew George","Andrew George","House of Commons Tabled Parliamentary Question 2013/14 168089","168089"
"http://data.parliament.uk/resources/13037","2013-09-06","Women and Equalities","2013-09-04","To ask the Minister for Women and Equalities, what meetings her Department has had regarding the caste legislation introduction programme and timeline.","Biography information for Richard Fuller","Richard Fuller","House of Commons Tabled Parliamentary Question 2013/14 168090","168090"
"http://data.parliament.uk/resources/13038","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, what estimate she has made of the cost of detaining an individual in an immigration detention centre for one year.","Biography information for Sarah Teather","Sarah Teather","House of Commons Tabled Parliamentary Question 2013/14 168092","168092"
"http://data.parliament.uk/resources/13039","2013-09-09","Prime Minister","2013-09-04","To ask the Prime Minister, whether public expenditure is fully taken into account in respect of the funds involved in the protection of his person while in the House.","Biography information for Mr David Winnick","Mr David Winnick","House of Commons Tabled Parliamentary Question 2013/14 168093","168093"
"http://data.parliament.uk/resources/13040","2013-09-09","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, what recent discussions he has had with his ministerial counterparts in Northern Ireland on the outcome of the most recent Common Agricultural Policy negotiations.","Biography information for Baroness Ritchie of Downpatrick","Ms Margaret Ritchie","House of Commons Tabled Parliamentary Question 2013/14 168082","168082"
"http://data.parliament.uk/resources/13041","2013-09-09","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, how much his Department has spent on assisting recipients of Employment and Support Allowance into work through the Work Programme since June 2011.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 168116","168116"
"http://data.parliament.uk/resources/13042","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent discussions he has had with his counterparts in (a) Rwanda and (b) Democratic Republic of Congo about the alleged shelling of Rwandan territory.","Biography information for Tom Blenkinsop","Tom Blenkinsop","House of Commons Tabled Parliamentary Question 2013/14 168095","168095"
"http://data.parliament.uk/resources/13043","2013-09-06","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, for what proportion of badgers exterminated during the current pilot cull the humaneness of extermination will be measured and recorded.","Biography information for Tom Blenkinsop","Tom Blenkinsop","House of Commons Tabled Parliamentary Question 2013/14 168096","168096"
"http://data.parliament.uk/resources/13044","2013-09-09","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, if he will make it his policy that Jobcentre Plus records the number of referrals they make to foodbanks; and if he will make a statement.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 168118","168118"
"http://data.parliament.uk/resources/13045","2013-09-06","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many illegal migrants to the UK were found entering the country on freight in each year since 2010.","Biography information for Pamela Nash","Pamela Nash","House of Commons Tabled Parliamentary Question 2013/14 168097","168097"
"http://data.parliament.uk/resources/13046","2013-09-06","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, on how many occasions the Maritime Rescue Co-ordination Centre, Stornoway, was staffed at below risk-assessed levels in (a) July 2013 and (b) August 2013.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168105","168105"
"http://data.parliament.uk/resources/13047","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many graduates from UK universities have been issued Tier 5 (Government Authorised Exchange) visas since 6 April 2012.","Biography information for Nick Gibb","Mr Nick Gibb","House of Commons Tabled Parliamentary Question 2013/14 168119","168119"
"http://data.parliament.uk/resources/13048","2013-09-06","Cabinet Office","2013-09-04","To ask the Minister for the Cabinet Office, what discussions he has had with (a) ConservativeHome, (b) the Taxpayer's Alliance, (c) the Countryside Alliance and (d) charities about the draft Transparency of Lobbying, Non-party Campaigning and Trade Union Administration Bill.","Biography information for Tom Blenkinsop","Tom Blenkinsop","House of Commons Tabled Parliamentary Question 2013/14 168098","168098"
"http://data.parliament.uk/resources/13049","2013-09-06","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, on how many occasions the Maritime Rescue Co-ordination Centre, Liverpool, was staffed at below risk-assessed levels in (a) July 2013 and (b) August 2013.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168106","168106"
"http://data.parliament.uk/resources/13050","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many Tier 1 (Graduate Entrepreneur) visas have been issued since their introduction in April 2012.","Biography information for Nick Gibb","Mr Nick Gibb","House of Commons Tabled Parliamentary Question 2013/14 168127","168127"
"http://data.parliament.uk/resources/13051","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, whether the EU consulted the local Saharawi population before drawing up the new protocol to the EU-Morocco Fisheries Partnership Agreement.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168099","168099"
"http://data.parliament.uk/resources/13052","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what representations his Department has received from (a) UK and (b) other journalists working in Israel regarding delays by the Israeli government in issuing press card renewals.","Biography information for Andrew Bridgen","Andrew Bridgen","House of Commons Tabled Parliamentary Question 2013/14 168107","168107"
"http://data.parliament.uk/resources/13053","2013-09-06","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, what proportion of the money paid by the EU for fishing opportunities in the waters off Western Sahara will be paid to Saharawis currently resident in refugee camps.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168100","168100"
"http://data.parliament.uk/resources/13054","2013-09-09","Department for Culture Media and Sport","2013-09-04","To ask the Secretary of State for Culture, Media and Sport, what discussions she has had with the Safe Bet Alliance on safety issues relating to betting shops.","Biography information for Lucy Powell","Lucy Powell","House of Commons Tabled Parliamentary Question 2013/14 168121","168121"
"http://data.parliament.uk/resources/13055","2013-09-06","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, what assessment he has made of the effects of overseas postings on the parenting responsibilities and liabilities for Child Support Agency payments of absent parents in the armed forces.","Biography information for Gordon Banks","Gordon Banks","House of Commons Tabled Parliamentary Question 2013/14 168101","168101"
"http://data.parliament.uk/resources/13056","2013-09-06","Department of Health","2013-09-04","To ask the Secretary of State for Health, how many service provision contracts (a) NHS England and (b) his Department prior to 1 April 2013 had with the Hospital Corporation of America; at which hospitals; and what services the contracts covered.","Biography information for Grahame Morris","Grahame M. Morris","House of Commons Tabled Parliamentary Question 2013/14 168108","168108"
"http://data.parliament.uk/resources/13057","2013-09-06","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, what assessment he has made of the potential effect on youth unemployment of the introduction of housing costs contributions under universal credit.","Biography information for Lucy Powell","Lucy Powell","House of Commons Tabled Parliamentary Question 2013/14 168102","168102"
"http://data.parliament.uk/resources/13058","2013-09-06","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, pursuant to the Answer of 2 September 2013, Official Report, column 43W, on reserve forces: Cardiff, what budget has been allocated for HMS Cambria for each of the last five years; and if he will make a statement.","Biography information for Mrs Madeleine Moon","Mrs Madeleine Moon","House of Commons Tabled Parliamentary Question 2013/14 168109","168109"
"http://data.parliament.uk/resources/13059","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, how many households in receipt of child tax credit but not working tax credit have an annual household income for tax credit purposes of between (a) £5,000 and £5,999, (b) £6,000 and £6,999, (c) £7,000 and £7,999, (d) £8,000 and £8,999 and (e) £10,000 and £16,190; and how many (i) children and (ii) two year old children live in each such household.","Biography information for Lucy Powell","Lucy Powell","House of Commons Tabled Parliamentary Question 2013/14 168128","168128"
"http://data.parliament.uk/resources/13060","2013-09-06","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, if he will estimate the cost to the public purse of exempting households with a 21 to 24 year old in receipt of the standard allowance of universal credit or being assessed for their capability to work from housing costs contributions under universal credit.","Biography information for Lucy Powell","Lucy Powell","House of Commons Tabled Parliamentary Question 2013/14 168103","168103"
"http://data.parliament.uk/resources/13061","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many graduates of UK universities have been issued Tier 2 visas since 6 April 2012.","Biography information for Nick Gibb","Mr Nick Gibb","House of Commons Tabled Parliamentary Question 2013/14 168129","168129"
"http://data.parliament.uk/resources/13062","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, pursuant to the Answer of 26 November 2012, Official Report, column 104W, on Western Sahara, whether Morocco has yet produced the evidence referred to.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168110","168110"
"http://data.parliament.uk/resources/13063","2013-09-06","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, on how many occasions the Maritime Rescue Co-ordination Centre, Belfast, was staffed at below risk-assessed levels in (a) July 2013 ande (b) August 2013.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168104","168104"
"http://data.parliament.uk/resources/13064","2013-09-09","Department for International Development","2013-09-04","To ask the Secretary of State for International Development, what plans she has in the immediate term to increase the amount of UK humanitarian aid to those affected by the civil war in Syria.","Biography information for Mr David Winnick","Mr David Winnick","House of Commons Tabled Parliamentary Question 2013/14 168130","168130"
"http://data.parliament.uk/resources/13065","2013-09-06","Department for Communities and Local Government","2013-09-04","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the proportion of funding transferred from the Department of Health to his Department for purposes of improving public health which is being spent on (a) leisure provision, (b) housing, (c) anti-social behaviour and (d) improving the environment.","Biography information for Lyn Brown","Lyn Brown","House of Commons Tabled Parliamentary Question 2013/14 168112","168112"
"http://data.parliament.uk/resources/13066","2013-09-06","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, whether her Department's recent decision to allocate resources to immigration status checks in Stratford resulted in delay in processing casework in other areas of her Department's work.","Biography information for Lyn Brown","Lyn Brown","House of Commons Tabled Parliamentary Question 2013/14 168113","168113"
"http://data.parliament.uk/resources/13067","2013-09-06","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, further to the Answer of 2 September 2013, Official Report, column 39W, on billing, how much was owed by the outstanding creditors listed in that answer.","Biography information for Nick de Bois","Nick de Bois","House of Commons Tabled Parliamentary Question 2013/14 168114","168114"
"http://data.parliament.uk/resources/13068","2013-09-06","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, on how many occasions both the Maritime Rescue Co-ordination Centre, Belfast, and the Maritime Rescue Co-ordination Centre, Stornoway, were staffed at below risk-assessed levels at the same time between 1 January 2013 and 31 August 2013.","Biography information for Katy Clark","Katy Clark","House of Commons Tabled Parliamentary Question 2013/14 168115","168115"
"http://data.parliament.uk/resources/13069","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what plans he has to extend the review of simplified financial products to investment vehicles.","Biography information for Alun Cairns","Alun Cairns","House of Commons Tabled Parliamentary Question 2013/14 168169","168169"
"http://data.parliament.uk/resources/13070","2013-09-09","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, pursuant to the Answer of 9 July 2013, official Report, column 122W, on nature conservation: crime, what organisations or individuals (a) he and (b) Ministers in his Department have met with since 9 July 2013 in respect of funding for the National Wildlife Crime Unit beyond March 2014.","Biography information for Gordon Banks","Gordon Banks","House of Commons Tabled Parliamentary Question 2013/14 168170","168170"
"http://data.parliament.uk/resources/13071","2013-09-09","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, pursuant to the Answer of 9 July 2013, Official Report, column 122W, on nature conservation: crime, what progress he has made on the funding of the National Wildlife Crime Unit beyond March 2014.","Biography information for Gordon Banks","Gordon Banks","House of Commons Tabled Parliamentary Question 2013/14 168171","168171"
"http://data.parliament.uk/resources/13072","2013-09-09","Department for Business, Innovation and Skills","2013-09-04","To ask the Secretary of State for Business, Innovation and Skills, pursuant to the Answer of 10 July 2013, Official Report, column 342W, on Royal Mail, if he will provide more specific information on the timing of the sale of Royal Mail.","Biography information for Ian Murray","Ian Murray","House of Commons Tabled Parliamentary Question 2013/14 168172","168172"
"http://data.parliament.uk/resources/13073","2013-09-06","Department of Health","2013-09-04","To ask the Secretary of State for Health, what plans he has to improve the standards of continence care in social care settings.","Biography information for Jim Dobbin","Jim Dobbin","House of Commons Tabled Parliamentary Question 2013/14 168131","168131"
"http://data.parliament.uk/resources/13074","2013-09-06","Department of Health","2013-09-04","To ask the Secretary of State for Health, if he will include measures to address continence care within the forthcoming domiciliary care strategy.","Biography information for Jim Dobbin","Jim Dobbin","House of Commons Tabled Parliamentary Question 2013/14 168132","168132"
"http://data.parliament.uk/resources/13075","2013-09-06","Department of Health","2013-09-04","To ask the Secretary of State for Health, what steps he plans to take to address the deficits in training, diagnosis, treatment and patient communications in continence care identified in the recent report from the All-Party Parliamentary Group on Continence Care entitled, Cost-effective Commissioning for Continence Care.","Biography information for Jim Dobbin","Jim Dobbin","House of Commons Tabled Parliamentary Question 2013/14 168133","168133"
"http://data.parliament.uk/resources/13076","2013-09-06","Cabinet Office","2013-09-04","To ask the Minister for the Cabinet Office, what his policy is on the use of the Swedish Derogation in the Agency Workers Directive for staff working in Government departments; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 168134","168134"
"http://data.parliament.uk/resources/13077","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, what estimate he has made of the extra total revenue his Department will receive as a result of the increase in civilian commercial movements at RAF Northolt over the next three years.","Biography information for Gareth Thomas","Mr Gareth Thomas","House of Commons Tabled Parliamentary Question 2013/14 168158","168158"
"http://data.parliament.uk/resources/13078","2013-09-06","Department for Business, Innovation and Skills","2013-09-04","To ask the Secretary of State for Business, Innovation and Skills, how many staff working in his Department are employed through agencies using the Swedish Derogation; how many staff receive less than the living wage; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 168135","168135"
"http://data.parliament.uk/resources/13079","2013-09-06","Ministry of Justice","2013-09-04","To ask the Secretary of State for Justice, what the prison performance rating was for HM Prison (a) Blundeston, (b) Dorchester, (c) Northallerton and (d) Reading in the latest period for which figures are available.","Biography information for Mr David Anderson","Mr David Anderson","House of Commons Tabled Parliamentary Question 2013/14 168141","168141"
"http://data.parliament.uk/resources/13080","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, if he will publish an impact assessment of the decision to increase the number of civilian commercial movements at RAF Northolt over the next three years; and if he will make a statement.","Biography information for Gareth Thomas","Mr Gareth Thomas","House of Commons Tabled Parliamentary Question 2013/14 168159","168159"
"http://data.parliament.uk/resources/13081","2013-09-06","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, how many staff working in his Department are employed through agencies using the Swedish Derogation; how many staff receive less than the living wage; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 168136","168136"
"http://data.parliament.uk/resources/13082","2013-09-06","Department for Environment, Food and Rural Affairs","2013-09-04","To ask the Secretary of State for Environment, Food and Rural Affairs, how many staff working in his Department are employed through agencies using the Swedish Derogation; how many staff receive less than the living wage; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 168137","168137"
"http://data.parliament.uk/resources/13083","2013-09-06","Department for Energy and Climate Change","2013-09-04","To ask the Secretary of State for Energy and Climate Change, how many staff working in his Department are employed through agencies using the Swedish Derogation; how many staff receive less than the living wage; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 168138","168138"
"http://data.parliament.uk/resources/13084","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, what assessment he has made of the potential increase in pollution as a result of the increase in civilian commercial movements at RAF Northolt over the next three years; and if he will make a statement.","Biography information for Gareth Thomas","Mr Gareth Thomas","House of Commons Tabled Parliamentary Question 2013/14 168161","168161"
"http://data.parliament.uk/resources/13085","2013-09-06","Department for Culture Media and Sport","2013-09-04","To ask the Secretary of State for Culture, Media and Sport, if she will estimate the number of people under the age of 18 years with disabilities who have attended a live music concert in each of the last five years.","Biography information for John Robertson","John Robertson","House of Commons Tabled Parliamentary Question 2013/14 168143","168143"
"http://data.parliament.uk/resources/13086","2013-09-06","Department for Culture Media and Sport","2013-09-04","To ask the Secretary of State for Culture, Media and Sport, if she will discuss with the Muscular Dystrophy Campaign Trailblazers that group's report on access to live music published in June 2013.","Biography information for John Robertson","John Robertson","House of Commons Tabled Parliamentary Question 2013/14 168144","168144"
"http://data.parliament.uk/resources/13087","2013-09-06","Ministry of Justice","2013-09-04","To ask the Secretary of State for Justice, what estimate he has made of the likely income from the sale of HMP (a) Blundeston, (b) Dorchester, (c) Northallerton and (d) Reading.","Biography information for Mr David Anderson","Mr David Anderson","House of Commons Tabled Parliamentary Question 2013/14 168139","168139"
"http://data.parliament.uk/resources/13088","2013-09-09","Department for Communities and Local Government","2013-09-04","To ask the Secretary of State for Communities and Local Government, pursuant to the Answer of 10 July 2013, Official Report, column 288W, on wind power: planning permission, when he intends to announce his decisions on the 10 recovered appeals; and whether he intends to announce all 10 decisions simultaneously.","Biography information for Tom Greatrex","Tom Greatrex","House of Commons Tabled Parliamentary Question 2013/14 168163","168163"
"http://data.parliament.uk/resources/13089","2013-09-06","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, what estimate he has made of the number of (a) disabled children and (b) children defined as living in poverty living in households whose income is subject to the benefits cap.","Biography information for John Robertson","John Robertson","House of Commons Tabled Parliamentary Question 2013/14 168145","168145"
"http://data.parliament.uk/resources/13090","2013-09-06","Ministry of Justice","2013-09-04","To ask the Secretary of State for Justice, who owns the (a) building and (b) land at HMP (i) Blundeston, (ii) Dorchester, (iii) Northallerton and (iiv) Reading.","Biography information for Mr David Anderson","Mr David Anderson","House of Commons Tabled Parliamentary Question 2013/14 168140","168140"
"http://data.parliament.uk/resources/13091","2013-09-06","Department for Energy and Climate Change","2013-09-04","To ask the Secretary of State for Energy and Climate Change, how many smart meters have been installed in (a) residential and (b) business properties to date.","Biography information for John Robertson","John Robertson","House of Commons Tabled Parliamentary Question 2013/14 168146","168146"
"http://data.parliament.uk/resources/13092","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, if she will list the five countries whose citizens have the highest allowed appeals rate with the percentage of allowed appeals for each country; and if she will break down that percentage by gender of the applicant.","Biography information for Keith Vaz","Keith Vaz","House of Commons Tabled Parliamentary Question 2013/14 168164","168164"
"http://data.parliament.uk/resources/13093","2013-09-06","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, what estimate he has made of the savings to the public purse if the new Tax-free Childcare scheme was restricted to providing support for up to two children only.","Biography information for Kate Green","Kate Green","House of Commons Tabled Parliamentary Question 2013/14 168151","168151"
"http://data.parliament.uk/resources/13094","2013-09-09","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, how many individuals no longer pay income tax in (a) Kettering constituency, (b) Northamptonshire and (c) England as a result of the increase in the personal income tax allowance since May 2010.","Biography information for Mr Philip Hollobone","Mr Philip Hollobone","House of Commons Tabled Parliamentary Question 2013/14 168165","168165"
"http://data.parliament.uk/resources/13095","2013-09-09","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, what his policy is on the road tax payable by foreign vehicles; and if he will make a statement.","Biography information for Mr Jim Cunningham","Mr Jim Cunningham","House of Commons Tabled Parliamentary Question 2013/14 168166","168166"
"http://data.parliament.uk/resources/13096","2013-09-09","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, how the Government monitors foreign cars entering the UK.","Biography information for Mr Jim Cunningham","Mr Jim Cunningham","House of Commons Tabled Parliamentary Question 2013/14 168167","168167"
